HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0,4,0,0,0,0,3,1
0,2,1,0,0,0,3,1
1,0,0,0,0,0,3,1
1,2,0,0,0,0,3,1
0,1,1,0,0,0,3,1
0,0,0,0,0,0,3,1
1,0,0,0,0,0,3,1
0,1,0,0,0,0,3,1
2,1,0,1,0,0,3,1
0,3,0,0,0,0,3,1
0,1,0,0,0,0,3,1
0,0,0,2,0,0,3,1
0,0,0,0,0,0,3,1
0,2,0,0,0,0,3,1
0,3,0,0,0,0,3,1
0,0,0,2,0,0,3,1
0,4,0,0,0,0,3,1
0,0,0,5,0,0,3,1
0,2,0,0,0,0,3,1
0,3,0,0,0,0,3,1
3,1,0,0,0,0,3,1
0,2,1,1,0,0,3,1
0,1,0,0,0,0,3,1
0,0,0,0,0,0,3,1
0,0,0,0,0,0,3,1
0,1,0,0,0,0,3,1
0,0,0,0,0,0,3,1
0,2,0,0,0,0,3,1
0,1,0,1,0,0,3,1
0,1,0,1,0,0,3,1
0,1,1,1,0,0,3,1
0,0,0,1,2,2,3,19
0,0,1,2,2,2,3,19
0,1,0,1,2,2,3,19
0,1,0,6,2,2,3,19
0,0,0,3,2,2,3,19
2,0,1,2,2,2,3,19
2,3,1,3,2,2,3,19
2,4,2,5,2,2,3,19
2,3,0,0,2,2,3,19
3,1,2,4,2,2,3,19
3,0,2,0,2,2,3,19
0,0,4,23,2,2,3,19
2,0,1,0,2,2,3,19
0,0,0,0,2,2,3,19
1,1,1,0,2,2,3,19
1,4,2,0,2,2,3,19
2,0,0,0,2,2,3,19
3,0,0,2,2,2,3,19
1,0,0,4,2,2,3,19
3,1,0,0,2,2,3,19
2,0,4,1,2,2,3,19
0,1,1,6,2,2,3,19
3,0,2,5,2,2,3,19
0,1,0,1,2,2,3,19
2,0,1,5,2,2,3,19
1,0,4,1,2,2,3,19
0,1,0,1,2,2,3,19
1,0,2,1,2,2,3,19
0,0,3,11,2,2,3,19
0,0,0,0,2,2,3,19
0,1,1,1,2,2,3,19
5,0,2,1,0,0,0,12
5,0,4,1,0,0,0,12
2,0,0,1,0,0,0,12
0,0,0,1,0,0,0,12
1,0,1,1,0,0,0,12
1,1,1,1,0,0,0,12
0,0,1,0,0,0,0,12
0,3,1,2,0,0,0,12
0,1,1,0,0,0,0,12
0,1,1,17,0,0,0,12
3,9,2,0,0,0,0,12
0,1,1,15,0,0,0,12
2,7,1,0,0,0,0,12
1,1,0,0,0,0,0,12
1,4,2,0,0,0,0,12
3,2,2,7,0,0,0,12
1,3,0,0,0,0,0,12
1,0,0,1,0,0,0,12
4,3,0,0,0,0,0,12
0,4,0,0,0,0,0,12
0,7,0,1,0,0,0,12
2,3,0,0,0,0,0,12
0,0,0,1,0,0,0,12
0,2,1,0,0,0,0,12
0,10,0,2,0,0,0,12
0,6,0,1,0,0,0,12
0,0,1,1,0,0,0,12
0,0,1,1,0,0,0,12
1,2,3,1,0,0,0,12
3,0,0,0,0,0,0,12
2,0,0,0,0,0,0,12
0,4,0,0,0,0,0,9
0,1,0,0,0,0,0,9
0,25,0,0,0,0,0,9
0,0,0,2,0,0,0,9
0,0,0,40,0,0,0,9
0,25,0,0,0,0,0,9
0,0,0,1,0,0,0,9
1,26,0,0,0,0,0,9
0,25,0,0,0,0,0,9
0,0,0,0,0,0,0,9
1,6,0,0,0,0,0,9
0,1,0,0,0,0,0,9
0,26,0,1,0,0,0,9
0,0,0,13,0,0,0,9
0,0,0,27,0,0,0,9
0,4,0,0,0,0,0,9
0,10,0,0,0,0,0,9
0,1,0,28,0,0,0,9
0,3,0,0,0,0,0,9
0,0,0,9,0,0,0,9
0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,9
0,30,0,0,0,0,0,9
0,0,0,0,0,0,0,9
0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,9
0,8,0,0,0,0,0,9
1,0,0,0,0,0,0,9
0,6,0,0,0,2,0,4
0,7,0,2,0,2,0,4
0,3,0,0,0,2,0,4
2,0,6,0,0,2,0,4
0,3,11,26,0,2,0,4
1,3,0,0,0,2,0,4
5,3,5,1,0,2,0,4
1,5,0,0,0,2,0,4
2,1,1,0,0,2,0,4
1,1,1,2,0,2,0,4
1,2,1,0,0,2,0,4
7,2,2,0,0,2,0,4
7,0,8,3,0,2,0,4
12,2,3,17,0,2,0,4
1,2,1,0,0,2,0,4
1,3,5,1,0,2,0,4
1,8,0,21,0,2,0,4
1,1,2,0,0,2,0,4
0,15,0,2,0,2,0,4
1,4,0,27,0,2,0,4
1,5,0,0,0,2,0,4
0,3,1,0,0,2,0,4
1,11,0,0,0,2,0,4
0,9,0,1,0,2,0,4
