HDP1,HDP1-No
0.195918367,0.183673469
0.266666666,0.111111111
0.3,0.25
0.18,0.25
0.3,0.25
0.16,0.133333333
0.085714285,0.119047619
0.166666667,0.138888889
0.109090909,0.090909091
0.078367346,0.069387755
0.355555555,0.296296296
0.314754098,0.262295082
0.6,0.5
0.042857143,0.092857143
0.08764045,0.08988764
0.120574163,0.090909091
0.163636363,0.136363636
0.266666666,0.222222222
0.3,0.25
0.24,0.2
0.3,0.125
0.16,0.333333333
0.085714285,0.071428571
0.055813954,0.054263566
0.093203884,0.087378641
0.077771461,0.065378056
0.0375,0.015625
0.136363637,0.090909091
0.078367346,0.048979592
0.177777778,0.111111111
0.216393443,0.180327869
0.034285715,0.05
0.080898876,0.061797753
0.133333333,0.222222222
0.24,0.3
0.092307692,0.153846154
0.228571428,0.19047619
0.074418605,0.11627907
0.12815534,0.140776699
0.5,0.222222222
0.194117647,0.073529412
0.518181818,0.386363636
0.266666666,0.333333333
0.098360656,0.131147541
0.454285715,0.078571429
0.114606742,0.06741573
0.13359841,0.06361829
0.088888889,0.148148148
0.218181818,0.181818182
0.533333333,0.222222222
0.081632653,0.095238095
0.327272728,0.236363636
0.118309859,0.408450704
0.091525423,0.101694915
0.06122449,0.112244898
0.088888889,0.185185185
0.184615385,0
0.171428572,0.214285714
0.055813954,0.364341085
0.104854369,0.116504854
0.092779988,0.081864696
0.133333333,0
0.136363637,0.159090909
0.083265306,0.195918367
0.222222222,0.148148148
0.295081967,0.180327869
0.45,0.4375
0.068571428,0.214285714
0.040449438,0.264044944
0.163636363,0.272727273
0.266666666,0.333333333
0.187012987,0.155844156
0.032653061,0.19047619
0.152727272,0.172727273
0.033802817,0.028169014
0.06101695,0.093220339
0.073469388,0.153061224
0.092307692,0.076923077
0.142857143,0.047619048
0.077089255,0.065946561
0.2,0.166666667
0.0375,0.578125
0.109090909,0.090909091
0.078367346,0.089795918
0.177777778,0.222222222
0.196721311,0.245901639
0.034285715,0.042857143
0.060674158,0.140449438
0.103349282,0.19138756
0.059574468,0.056737589
0.177777778,0.037037037
0.163636363,0.318181818
0,0
0.050847457,0.050847458
0.24,0.35
0.171428572,0.244897959
0.133333333,0.37037037
0.092307692,0.153846154
0.114285714,0.19047619
0.081553398,0.470873786
0.2940307,0.430358158
0.166666667,0.277777778
0.075,0.1875
0.264705882,0.161764706
0.136363637,0.204545455
0.068571428,0.293877551
0.222222222,0.148148148
0.196721311,0.31147541
0.45,0
0.231428572,0.321428571
0.22247191,0.516853933
0.181312127,0.07554672
0.114832536,0.263157895
0.059574468,0.219858156
0.088888889,0.481481481
0.163636363,0.227272727
0.133333333,0.222222222
0.14025974,0.12987013
0,0.163265306
0.218181818,0.218181818
0.050704225,0.774647887
0.071186441,0.211864407
0.24,0.15
0.266666666,0.222222222
0.36923077,0.076923077
0.085714285,0.095238095
0.074418605,0.07751938
0.25631068,0.218446602
0.189653212,0.180784537
0.133333333,0.166666667
0.2625,0.28125
0.105882353,0.073529412
0.190909091,0.272727273
0.166530612,0.110204082
0.311111111,0.111111111
0.196721311,0.295081967
0.6,0.5625
0.042857143,0.357142857
0.107865168,0.179775281
0.35308151,0.180914513
0.281339713,0.157894737
0.29787234,0.19858156
0.266666666,0.62962963
0.163636363,0.181818182
0.133333333,0.333333333
0.327272728,0.246753247
0.040816326,0.517006803
0.283636363,0.127272727
0.371830986,0.154929577
0.091525423,0.203389831
0.195918367,0.153061224
0.266666666,0
0.3,0.125
0.24,0.25
0.3,0.25
0.32,0.4
0.2,0.238095238
0.093023256,0.341085271
0.110679612,0.218446602
0.103695282,0.086981239
0.166666667,0.111111111
0.1125,0.296875
0.158823529,0.161764706
0.176326531,0.155102041
0.137704918,0.163934426
0.06741573,0.056179775
0.264114833,0.177033493
0.109090909,0.090909091
0.050847457,0.093220339
0.122448979,0.12244898
0.3,0.25
0.15,0
0.4,0.2
0.085714285,0.071428571
0.074418605,0.062015504
0.104854369,0.067961165
0.133333333,0.138888889
0.45,0.15625
0.136363637,0.136363636
0.137704918,0.06557377
0.45,0.5
0.197142857,0.164285714
0.149282297,0.119617225
0.163636363,0.136363636
0.091525423,0.033898305
0.18,0.05
0.171428572,0.081632653
0.45,0.25
0.24,0.15
0.15,0.25
0.16,0.266666667
0.2,0.194444444
0.136363637,0.113636364
0.163636363,0.136363636
0.266666666,0.333333333
0.24,0.15
0.159183673,0.142857143
0.133333333,0.222222222
0.3,0.125
0.24,0.25
0.15,0.25
0.32,0.333333333
0.044444444,0.037037037
0.36923077,0.461538462
0.057142858,0.047619048
0.233333333,0.111111111
0.635294118,0.308823529
0.163636363,0.113636364
0.4,0.333333333
0.15,0.5
0.207554672,0.117296223
0.29787234,0.127659574
0.266666666,0.074074074
0.109090909,0.136363636
0.133333333,0.111111111
0.327272728,0.194805195
0.114285714,0.020408163
0.141818182,0.118181818
0.371830986,0.112676056
0.091525423,0.06779661
0.06122449,0.051020408
0.266666666,0.222222222
0.3,0.25
0.18,0.15
0.3,0.25
0.4,0.333333333
0.163636363,0.090909091
0.317142857,0.285714286
0.109090909,0.090909091
0.266666666,0.111111111
0,0
0.141818182,0.136363636
0.24,0.25
0.122448979,0.132653061
0.3,0.375
0.24,0.2
0.45,0.25
0.16,0.2
0.109090909,0.113636364
0.163636363,0.136363636
0.24,0.1
0.159183673,0.132653061
0.266666666,0
0.15,0.25
0.18,0.25
0.3,0.125
0.24,0.466666667
0.088888889,0.037037037
0.553846154,0.461538462
0.057142858,0.166666667
0.065116279,0.100775194
0.262135922,0.165048544
0.158271745,0.142126208
0.3375,0.296875
0.282352942,0.352941176
0.186122449,0.155102041
0.4,0.148148148
0.118032787,0.278688525
0.3,0.4375
0.077142857,0.414285714
0.107865168,0.08988764
0.214711729,0.178926441
0.241148326,0.210526316
0.29787234,0.241134752
0.266666666,0
0.163636363,0.136363636
0,0.222222222
0.374025974,0.311688312
0.465306122,0.476190476
0.283636363,0.236363636
0.185915492,0.154929577
0.081355932,0.084745763
0.3,0.3
0.133333333,0.222222222
0.15,0.25
0.3,0.15
0.3,0.25
0.32,0.266666667
0.044444444,0.074074074
0.36923077,0.307692308
0.189653212,0.106878908
0.4,0.166666667
0.352941176,0.264705882
0.311111111,0.259259259
0.097813121,0.13916501
0.153191489,0.319148936
0.044444444,0.074074074
0.218181818,0.227272727
0,0.111111111
0.280519481,0.246753247
0.114285714,0.013605442
0.283636363,0.109090909
0.050704225,0.042253521
0.081355932,0.06779661
0.3,0.15
0.266666666,0.222222222
0.3,0.25
0.3,0.2
0.3,0.25
0.32,0.266666667
0.044444444,0.111111111
0.36923077,0.307692308
0.14883721,0.069767442
0.4,0.111111111
0.28125,0.296875
0.163636363,0.363636364
