HDP1,HDP1-No
0.638605442,0.715348639
0.728670635,0.579861111
0.845454545,0.772727273
0.829310345,0.82183908
0.933035714,0.258928571
0.680620155,0.627131783
0.722011984,0.727491328
0.68953252,0.66802168
0.612404162,0.301478642
0.614737546,0.623435942
0.74441319,0.75222691
0.808527878,0.804676124
0.898581899,0.903640854
0.769053662,0.659481508
0.726969053,0.731804839
0.719289578,0.470166275
0.877005348,0.818181818
0.731150794,0.437996032
0.840909091,0.736363636
0.797126437,0.743390805
0.910714286,0.901785714
0.536821705,0.490697674
0.719962157,0.718227688
0.781375472,0.662810574
0.693539578,0.568277221
0.691405396,0.693619836
0.655415171,0.658891547
0.687842278,0.633077766
0.691884695,0.619546149
0.710345366,0.514377246
0.750763305,0.750751562
0.739655547,0.700257433
0.683872586,0.612989905
0.691358025,0.601851852
0.773095238,0.546190476
0.489499764,0.466493629
0.279801325,0.417336802
0.668276685,0.626913139
0.522608717,0.385913125
0.345613144,0.333079268
0.8464833,0.396567776
0.319687842,0.370208105
0.485232068,0.646116581
0.418009301,0.642197849
0.730591008,0.671475707
0.42446788,0.634157395
0.907052593,0.876662259
0.402560278,0.38056177
0.565508021,0.552139037
0.722222222,0.487654321
0.588435374,0.664098292
0.545906866,0.409595136
0.493205848,0.361292416
0.615025032,0.592436214
0.783056973,0.674053997
0.702093398,0.370728216
0.76958471,0.255899009
0.76222012,0.470514033
0.777201352,0.349155238
0.808580757,0.374980055
0.665591945,0.438053583
0.658536585,0.565125339
0.70837897,0.535049288
0.642805397,0.522974013
0.747069855,0.273870917
0.771396026,0.507656536
0.888902167,0.869383365
0.779234953,0.505656273
0.599246335,0.678574386
0.539438503,0.169786096
0.682098765,0.641975309
0.766275338,0.343748441
0.507566292,0.307857837
0.726516387,0.412650156
0.472766136,0.368124738
0.635065444,0.553561735
0.734215561,0.466517857
0.640278433,0.532444549
0.730881425,0.395301167
0.684967118,0.654656754
0.686144986,0.658197832
0.655427632,0.508522727
0.623767798,0.415662651
0.691884695,0.598884303
0.689013908,0.720815752
0.75372258,0.737458312
0.737164612,0.705656273
0.662896042,0.715960854
0.71743774,0.629357485
0.720855496,0.708628842
0.554809843,0.450534427
0.830213904,0.172459893
0.391781202,0.485492156
0.642650341,0.647023343
0.84,0.680952381
0.689838435,0.463701105
0.699946323,0.30336375
0.330226522,0.560877773
0.688505203,0.596499527
0.763019651,0.450403815
0.608414938,0.6304822
0.684620596,0.709349593
0.221952253,0.233016846
0.892571525,0.718576137
0.705230011,0.57584885
0.691832948,0.526053538
0.276527582,0.280590717
0.726490206,0.727641035
0.882289675,0.572856915
0.617733865,0.739336476
0.579100295,0.696599306
0.950410942,0.065084882
0.692115665,0.342105263
0.689051418,0.630688534
0.378573204,0.651752424
0.807486631,0.580213904
0.785493827,0.433641975
0.737166802,0.523803981
0.316048869,0.355685131
0.560121608,0.559765683
0.489026299,0.411141647
0.650325713,0.435460522
0.643095238,0.391904762
0.541599571,0.730184291
0.59851345,0.261915998
0.658270262,0.421633554
0.709421586,0.55368714
0.483850478,0.389377462
0.570743075,0.46661119
0.692242547,0.467479675
0.458445474,0.40327203
0.177030303,0.517289672
0.597891566,0.359529025
0.534656015,0.506469527
0.393655259,0.479059228
0.757045892,0.750516699
0.879361855,0.885715424
0.722784627,0.643118202
0.470890962,0.591898333
0.624263872,0.93146154
0.513659396,0.39059296
0.502622636,0.432254728
0.530201342,0.644419587
0.313502674,0.272727273
0.430555556,0.469135802
0.472487819,0.558707618
0.532764126,0.686241844
0.54617381,0.515200949
0.599679377,0.582865758
0.509680922,0.459828699
0.561437075,0.55171131
0.680059524,0.393353175
0.7,0.322727273
0.797126437,0.494252874
0.665178571,0.84375
0.712403101,0.691860465
0.677704194,0.586368653
0.729139336,0.365513814
0.669675844,0.511654168
0.688762835,0.642168334
0.712228997,0.647611789
0.678316886,0.473709131
0.898553525,0.308754863
0.656352782,0.390731135
0.675982902,0.432148058
0.674258528,0.674258528
0.681103079,0.624650807
0.590909091,0.68315508
0.667093914,0.469313589
0.593962585,0.632440476
0.838636364,0.834090909
0.915178571,0.8125
0.663178295,0.244186047
0.651174708,0.648651845
0.778056052,0.816915126
0.766729469,0.76312398
0.682164634,0.715955285
0.668174342,0.704956639
0.700301205,0.534501643
0.675982902,0.495972098
0.877808317,0.632548598
0.661664249,0.661664249
0.601199144,0.466079973
0.696524064,0.64171123
0.635351951,0.655829664
0.291428571,0.425238095
0.629039116,0.678571429
0.552272727,0.627272727
0.805172414,0.406896552
0.196428571,0.8125
0.639922481,0.647674419
0.566565041,0.664634146
0.697426068,0.464676889
0.870320856,0.814171123
0.759259259,0.432098765
0.538809524,0.752619048
0.664859694,0.498990221
0.661210317,0.67609127
0.631818182,0.829545455
0.780747126,0.792528736
0.714285714,0.910714286
0.723255814,0.733333333
0.684469494,0.713902308
0.734780557,0.78268051
0.621649322,0.621649322
0.773966802,0.677845528
0.619570529,0.818222902
0.70618839,0.763964951
0.680887639,0.750586029
0.512786807,0.927441842
0.493287276,0.945935913
0.502548759,0.546025414
0.479865772,0.436614467
0.720588235,0.701871658
0.734567901,0.783950617
0.5,0.787759616
0.514091351,0.332361516
0.660729646,0.748524396
0.55935341,0.484617734
0.635351951,0.632607516
0.776360544,0.700095663
0.731150794,0.683035714
0.854545455,0.845454545
0.791666667,0.781034483
0.928571429,0.901785714
0.751550388,0.74496124
0.705914567,0.673603505
0.804604786,0.815587382
0.715240642,0.597593583
0.728395062,0.780864198
0.391781202,0.30764959
0.660729646,0.659491324
0.65547619,0.681904762
0.623193027,0.694621599
0.840909091,0.793181818
0.52183908,0.852298851
0.575892857,0.799107143
0.680620155,0.671317829
0.724671413,0.682913472
0.875668449,0.760695187
0.560952381,0.606428571
0.664859694,0.660926871
0.725198413,0.237599206
0.564772727,0.356818182
0.775574713,0.279310345
0.560267857,0.803571429
0.694573643,0.479844961
0.629361245,0.686437645
0.610665408,0.590372817
0.604619994,0.606354462
0.756648778,0.666487776
0.679725185,0.654149227
0.700846828,0.611222775
0.569502592,0.543298943
0.522574623,0.292958295
0.659292214,0.659292214
0.599624941,0.516408814
0.660646343,0.729649115
0.848191523,0.509122052
0.639840464,0.659641044
0.470890962,0.707002457
0.80563877,0.80563877
0.71126928,0.656107908
0.502622636,0.587285757
0.446308725,0.221600795
0.705882353,0.696524064
0.584876543,0.25
0.527503866,0.527503866
0.535263085,0.642162988
0.546166395,0.493726828
0.506259781,0.534047101
0.578020387,0.579784667
0.518571429,0.675714286
0.48015873,0.713789683
0.409090909,0.877272727
0.558045977,0.757471264
0.631696429,0.790178571
0.68875969,0.699224806
0.625067096,0.715333691
0.59851345,0.832586126
0.570743075,0.705443887
0.678014905,0.7412771
0.849011996,0.88074965
0.473589623,0.705344585
0.925080503,0.924074657
0.545729905,0.459958629
0.431643052,0.41349739
0.513368984,0.367647059
0.674382716,0.62037037
0.560744633,0.739104046
0.331389699,0.406497293
0.54617381,0.764763458
0.55463949,0.539371732
0.570706918,0.635638458
0.633333333,0.729761905
0.493055556,0.672619048
0.869318182,0.847727273
0.558045977,0.543678161
0.861607143,0.941964286
0.721705426,0.699612403
0.618804795,0.781356235
0.59851345,0.59851345
0.542913934,0.621228384
0.678014905,0.632367886
0.618059709,0.619741826
0.535049288,0.632256298
0.523394293,0.540152462
0.492811377,0.549070167
0.696204613,0.696204613
0.51143979,0.509236902
0.54536052,0.551196809
0.435620184,0.266219239
0.445855615,0.562834225
0.712962963,0.200617284
0.527512181,0.527512181
0.32285159,0.526794391
0.54617381,0.54617381
0.506278866,0.585690294
0.672857143,0.479761905
0.629995748,0.704294218
0.746527778,0.422123016
0.852272727,0.581818182
0.804022989,0.537356322
0.941964286,0.080357143
0.693410853,0.589147287
0.754249419,0.575773841
0.765337423,0.676262388
0.719804478,0.550693787
0.746690519,0.779228782
0.709082492,0.577278159
0.635503888,0.706713517
0.599309631,0.704332791
0.789263947,0.46921394
0.797160505,0.774789798
0.889559433,0.74553856
0.706874547,0.265852067
0.679685559,0.329907793
0.522203483,0.39425763
0.726987293,0.734190307
0.498632861,0.395600298
0.871657754,0.311497326
0.783950617,0.694444444
0.457170623,0.437734277
0.624132939,0.462754086
0.709047619,0.688571429
0.500992063,0.576884921
0.85,0.802272727
0.702298851,0.788505747
0.794642857,0.888392857
0.605426357,0.511627907
0.660493827,0.728752907
0.74327513,0.698088721
0.678014905,0.702659214
0.619570529,0.87137503
0.492880613,0.638554217
0.665338334,0.676980778
0.679114066,0.912055489
0.547798463,0.476950355
0.509072831,0.526969923
0.582219251,0.684491979
0.62962963,0.62654321
0.5,0.787568386
0.56059975,0.361168957
0.54617381,0.699577339
0.613897477,0.411962289
