HDP1,HDP1-No
0.308000001,0.146788991
0.380285716,0.181818182
0.887333334,0.5
0.782941176,0.516129032
1.023846154,0
0.380285716,0.263157895
0.43844706,0.325
0.472290323,0.333333333
0.242,0.1
0.071669231,0.226044226
0.542259259,0.366666667
0.389181287,0.322580645
0.116754386,0.115226337
0.423286218,0.28125
0.301204892,0.288607595
0.464233996,0.174468085
0.831875,0.580645161
0.190142857,0.1
0.484,0.324324324
0.686967742,0.461538462
0.9317,0.615384615
0.310566666,0.166666667
0.398588236,0.301587302
0.833758489,0.569395018
0.563207956,0.361359571
0.529527339,0.385898647
0.299695364,0.255591054
0.699111112,0.523364486
0.46921269,0.292517007
0.386786325,0.206896552
0.317103448,0.242038217
0.477250996,0.335632184
0.41971875,0.263764405
0.295777777,0.375
0.343483872,0.263157895
0.102384616,0.074074074
0,0.164948454
0.323756756,0.592
0.212111555,0.23943662
0,0.173913043
0.098592592,0.023622047
0,0.307692308
0,0.329113924
0,0.219178082
0.23274317,0.256227758
0,0.245398773
0.498915723,0.431718062
0.177466666,0.153846154
0,0.333333333
0,0.153846154
0.309534884,0.430769231
0,0.214285714
0.18634,0.021052632
0.279345679,0.347826087
0.10337864,0.651933702
0,0.1
0.255260273,0
0.420315789,0.174496644
0.173608696,0.070422535
0.516507462,0.200488998
0.214227619,0.212580231
0.386419355,0.369747899
0.3872,0.395348837
0.325959184,0.237762238
0.091793104,0
0.397770116,0.204301075
0.15972,0.111587983
0.175516484,0.262032086
0,0.28436019
0.10648,0.095238095
0.469764705,0.363636364
0.255961538,0.089686099
0.336574712,0
0.511475983,0.195744681
0.156588236,0.077922078
0.262697368,0.088888889
0.377116666,0.342465753
0.217306123,0.106666667
0.439092784,0.158273381
0.494095526,0.369274809
0.424376812,0.333333333
0.342479533,0.166666667
0.360949153,0.298850575
0.4455,0.266055046
0.327630769,0.272
0.361825243,0.219047619
0.265095435,0.306834031
0.287413881,0.338582677
0.411722666,0.305676856
0.635096447,0.47715736
0.208784314,0.040816327
0.813388888,0.170212766
0.278581397,0.308510638
0.2662,0.34
0.601096773,0.461538462
0.652619355,0.328358209
0.513719297,0.059701493
0.044366666,0.108108108
0.450822581,0.244444444
0.743610329,0.161971831
0.419013538,0.365853659
0.443666666,0.444444444
0.066078014,0.036585366
0.147688769,0.03320802
0.630473685,0.233333333
0.458380102,0.229822161
0.089730336,0.071428571
0.345280335,0.248366013
0.10127174,0.039312039
0.344038772,0.346504559
0.283891808,0.319277108
0.288643234,0
0.434145923,0.104854369
0.707294686,0.599156118
0.217306123,0.216216216
0.887333334,0.468085106
0.6655,0.32
0.334190476,0.228571429
0.314860215,0.323529412
0.335143885,0.311926606
0.377447762,0.033057851
0.553142858,0.222222222
0.285214285,0.155555556
0,0.375
0.156588236,0.016949153
0.357097561,0.156521739
0.080060151,0.419512195
0,0.223021583
0.014980304,0.233573023
0.221833334,0.243902439
0.147888888,0.116022099
0.007136729,0.039520958
0.420315789,0.338983051
0.14311828,0.231351351
0,0.090909091
0.349751826,0.196363636
0.200905661,0.056338028
0.23047619,0.23625731
0,0.234432234
0.418882771,0.253908356
0.012155251,0.169312169
0.105774835,0.229508197
0,0.489795918
0,0.25
0,0.222222222
0,0.168224299
0.307745665,0.443349754
0.046295653,0.255434783
0.283191489,0.285714286
0,0.232804233
0.025844661,0.01980198
0,0
0.295777777,0.111111111
0,0.090909091
0,0.666666667
0,0.24
0.118311112,0.046511628
0.173608696,0.1
0.301765182,0.355658199
0.230281147,0.132942326
0.06825641,0
0.1331,0.14159292
0.156078176,0.042780749
0.238784052,0.120833333
0,0
0.054886597,0.041237113
0.195060345,0.130769231
0,0.086956522
0.04192126,0.102941176
0,0
0,0.666666667
0.295777777,0
0,0
0,0.045454545
0,0.030534351
0.166375,0.228813559
0,0
0.040333333,0.086956522
0.260980391,0.166666667
0,0
0.110916666,0
0,0
0.070052632,0.084615385
0,0
0,0.016129032
0.091793104,0.189189189
0,0.483221477
0.2662,0.4
0.492962963,0.095238095
0,0.363636364
0.156588236,0.363636364
0.190142857,0
0.595970148,0.328358209
0.31944,0.666666667
0.570428572,0.25
0.287783784,0.421052632
0.167873874,0.259541985
0.389560976,0.25
0.354933334,0.388888889
0.5823125,0.5
0.6655,0.666666667
0.443666666,0.367346939
0.358921347,0.336633663
0.215837838,0.137254902
0.117441176,0.088235294
0.644032259,0.373333333
0.244616216,0.043171115
0.580179488,0.56
0.190142857,0.395604396
0.030597702,0.125560538
0.037866287,0.263786242
0.138285714,0.238095238
0,0.095238095
0.847,0.512820513
0.605000001,0.434782609
0,0.329113924
0.212306747,0.243654822
0.445212544,0.384615385
0.391099526,0.222222222
0.544781397,0.4609375
0.261446428,0.111111111
0.221833334,0.260869565
0.887333334,0.625
0.570428572,0.545454545
0.760571428,0.666666667
0.642551724,0.4
0.3872,0.226415094
0.238178948,0.265402844
0.110916666,0.076923077
0,0.142857143
0.118687899,0.051612903
0.197851352,0.207792208
0,0
0.026888888,0.076923077
0,0
0,0.095238095
0,0
0,0.125
0.169914892,0.086956522
0.11573913,0.533333333
0.2662,0.282828283
0.149271029,0.094339623
0,0
0,0.222222222
0.394370371,0
0,0.476190476
0.253523809,0.192307692
0,0
0.277291666,0.204081633
0.084507936,0.175
0.31944,0.310559006
0.29115625,0.264285714
0.335776197,0.248238058
0.384511112,0.292134831
0.032622548,0.015
0.147498681,0.110817942
0.156588236,0.12
0.177466666,0.252010724
0.190142857,0
0.0923237,0.306049822
0,0.251231527
0.4824875,0.3625
0.355541097,0.276315789
0.105774835,0.079470199
0,0
0.21296,0.571428571
0,0
0.128806451,0.096774194
0.244969326,0.160493827
0.200034682,0.150289017
0.271632654,0.26
0.105774835,0.091503268
0.10648,0.137931034
0,0
0,0.545454545
0.11573913,0.166666667
0,0
0.295777777,0.380952381
0.147888888,0.114285714
0.177466666,0.148148148
0.231164179,0.131
0.19965,0.146341463
0.067392404,0.1
0,0.05
0.509085366,0.395196507
0.10719463,0.067567568
0,0
0,0.193548387
0,0.235294118
0.099514019,0.109090909
0.017746666,0.076433121
0.046701754,0.115702479
0.219546392,0.18556701
0.11573913,0.093023256
0,0
0,0.133333333
0,0
0.11573913,0
0,0
0.443666666,0.333333333
0,0
0,0
0.020166667,0.217687075
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.105774835,0
0,0
0,0
0,0
0,0.025316456
0,0.013513514
0,0
0,0
0.341282051,0.243478261
0.368584616,0.593939394
0.507047619,0.128440367
0.614307693,0.363636364
0.73205,0.269230769
1.096117647,0
0.484,0.2
0.541423729,0.19047619
0.277291666,0.177777778
0.42592,0.207692308
0.311142857,0.492307692
0.542813692,0.331740231
0.254872341,0.251497006
0.408711112,0.334146341
0.631661017,0.204545455
0.376812786,0.242152466
0.148639594,0.115942029
0.380285716,0.078091106
0.315127727,0.064665127
0.168126316,0.160101652
0.395497143,0.290697674
0.221833334,0.149253731
0.863351352,0.068965517
0.694434782,0.5
0.290678163,0.382352941
0.33275,0.239583333
0,0.086956522
0.166375,0.285714286
0.295777777,0.428571429
0.11573913,0.357142857
0,0.571428571
0.280210527,0
0,0
0.221833334,0
0.140105263,0.051282051
0,0.157407407
0.295777777,0.271186441
0.051192307,0.166666667
0,0.227642276
0.108653061,0.04137931
0,0
0,0.424242424
0,0
0,0.049382716
0.052196079,0.013422819
0.095071428,0.018018018
0.06655,0.054054054
0.022000001,0.047619048
0.121,0.153846154
0.100452831,0.125
0,0.181818182
0.484,0.173913043
0.23147826,0.387096774
0.295777777,0
0.166375,0
0.2662,0.195121951
0.098592592,0
0.209157143,0.263157895
0.447053435,0.389705882
0.123813954,0.32
0.406694445,0.264705882
0.353429379,0.208450704
0.173138211,0.148148148
0.216903704,0.071713147
0,0.052631579
0.550758619,0.6
0.409538462,0.181818182
0.069142857,0.113924051
0.360949153,0.253012048
0.201944828,0.178082192
0.126761906,0.342857143
0,0
0.6655,0.615384615
0,0.095238095
0,0
0,0.117647059
0.020476924,0.045454545
0.289347825,0.186046512
0.40181132,0.109090909
0.31944,0.606060606
0,0
0,0
0,0
0,0.222222222
0,0
0,0.375
0,0
0,0
0,0
0,0.12244898
0,0.041666667
0,0.086956522
0,0
0,0
0,0
0.614307693,0.2
0.31944,0.486486486
0.6655,0.333333333
0,0
0.479363985,0.356589147
0,0.285714286
0.221833334,0.4375
0,0.697674419
0.409538462,0.222222222
0.263564356,0.198019802
0,0.086956522
0,0
0.5324,0
0.507047619,0.5
0,0.178571429
0.224957747,0.156028369
0.147888888,0.061135371
0.30377853,0.188387097
0,0.088888889
0.2662,0.12244898
0.091221185,0.068535826
0,0
0,0.333333333
0,0
0,0
0,0
0,0
0,0
0,0
0.443666666,0
0,0
0,0
0.040333333,0.030534351
0,0
0,0
0,0
0.070583333,0.045627376
0,0
0.049296297,0.037037037
0.018746479,0.041666667
0,0
0,0
0,0
0,0.025316456
0,0
0,0
0,0.026666667
0.197185185,0.133333333
0,0
0,0.461538462
0.11573913,0.25
0,0.4
0.253523809,0.125
0,0.046511628
0.129853659,0.3125
0.363,0.153846154
0.111550476,0.183783784
0,0
0.033930476,0.328922495
0.105774835,0.027586207
0,0
0,0
0,0
0,0.074766355
0.13651282,0
0.277291666,0.137931034
0.303265822,0.183908046
0.358346154,0.227272727
0.5445,0.416666667
0.645333334,0.538461538
0.380285716,0.323529412
0.760571428,0.540540541
0.785508196,0.610169492
0.819076924,0.666666667
0.295777777,0.736842105
0.443666666,0.444444444
0.424787234,0.26440678
0.379474582,0.240061162
0.186807018,0.140350877
0.089833333,0.019607843
0.367172414,0.298507463
0.322304932,0.278145695
0.597591837,0.421686747
0.142875707,0.137362637
0,0.170731707
0.469764705,0.133333333
0.697190476,0.268292683
0.9317,0.176470588
0.313176471,0.15
0.358346154,0.150537634
0.152114285,0.095238095
0.417568627,0.131868132
0.668380952,0.532212885
0.427516059,0.2225
0.533228546,0.360225141
0.443666666,0.23255814
0.33275,0.179723502
0.622285716,0.270833333
0.480257732,0.179238237
0.060184347,0.029027576
0.386918604,0.174825175
0.395252237,0.187878788
0.389997312,0.299526066
0.627958975,0.56302521
0.190142857,0.333333333
0.710618645,0.423076923
0.329905983,0.276923077
0.150679245,0.26984127
0.221833334,0.181818182
0.7986,0.272727273
0.621133334,0.349206349
0.887333334,0.592592593
0.156588236,0.068965517
0.278119403,0.264150943
0.668844221,0.35978836
0.699175905,0.299465241
0.465312181,0.255759008
0.406067797,0.196078431
0.348299065,0.156378601
0.079462687,0.004822182
0.338800001,0.156862745
0.380285716,0.266932271
0.443666666,0.245283019
0.193098445,0.256
0.14653211,0.089655172
0.218047783,0.275423729
0.302172973,0.049535604
0.454708145,0.019207683
0.42108,0.206395349
0.307153846,0.322580645
0.362284023,0.179640719
0.149271029,0.111111111
0,0
0,0.222222222
0.121,0.173913043
0,0.545454545
0,0.235294118
0.118311112,0.309677419
0.191754239,0.324324324
0.166375,0.12345679
0,0
0.268801303,0.24
0.081907693,0.225
0,0
0.103178295,0.061068702
0.190142857,0.140625
0.278119403,0.076923077
0.234882353,0.368421053
0.350263159,0.245614035
0.624105263,0.466346154
0.343016334,0.288966725
0.226898022,0.166153846
0.00649185,0.003371369
0.587205883,0.438356164
0.237754386,0.18594823
0.143792244,0.105997211
0.015476745,0.018387553
0.015277148,0.006466939
0.293771886,0.205434062
0.645333334,0.492753623
0.535933628,0.359813084
0.05324,0.058252427
0.242,0.166666667
0.709866666,0.533333333
0.121,0.090909091
0.295777777,0.222222222
0.295777777,0.2
0.275379311,0.206896552
0,0
0,0
0,0.606060606
0.063888,0.171428571
0,0.095238095
0,0.235294118
0,0
0,0
0,0.235294118
0,0.059701493
0,0
0,0
0,0
0,0.029850746
0.096216868,0.106508876
0,0.044444444
0,0.023529412
0,0
0,0.083333333
0.005281746,0.11722913
0,0.009345794
0,0
0.121,0.292682927
0.221833334,0.258064516
0.295777777,0
0.511923078,0.25
0.5324,0.588235294
0,0.28
0,0.195121951
0.3993,0.260869565
0.099328359,0.313253012
0.35773913,0.342679128
0.237744563,0.081827843
0.2904,0.231404959
0.351584905,0.487179487
0.140722467,0.126696833
0.163647541,0.274247492
0,0.32
0.348107693,0.268656716
0.103045162,0.220930233
0.367776316,0.289655172
0.138285714,0.166666667
