HDP1,HDP1-No
0.144329897,0.144329897
0.05785124,0.05785124
0.047619048,0.031746032
0.037383178,0.046728972
0.055555556,0.472222222
0.059405941,0.059405941
0.037790698,0.040697674
0.05,0.05
0.070866142,0.165354331
0.021482277,0.019871106
0.071969697,0.079545455
0.042160738,0.04743083
0.059305994,0.064353312
0.025777778,0.039111111
0.045746962,0.050750536
0.034068136,0.06012024
0.053571429,0.053571429
0.05785124,0.173553719
0.031746032,0.063492063
0.046728972,0.046728972
0.055555556,0.055555556
0.059405941,0.247524752
0.040697674,0.043604651
0.018518519,0.027777778
0.018054162,0.027081244
0.020431565,0.020744293
0.013024602,0.013024602
0.039370079,0.039370079
0.01396348,0.017185822
0.083333333,0.102272727
0.040843215,0.040843215
0.026666667,0.028444444
0.043602573,0.05003574
0.111111111,0.111111111
0.088,0.176
0.08259587,0.09439528
0.505813953,0.11627907
0.027777778,0.046296296
0.061183551,0.054162487
0.52,0.31
0.023175596,0.111889619
0.57480315,0.543307087
0.212121212,0.098484848
0.139657444,0.050065876
0.136888889,0.048
0.167977127,0.107934239
0.004646785,0.002705723
0.056818182,0.142045455
0.160714286,0.142857143
0.244444444,0.177777778
0.06122449,0.086734694
0.20055325,0.20746888
0.061363636,0.534090909
0.062656642,0.070175439
0.036082474,0.06185567
0.02991453,0.376068376
0.04719764,0.085545723
0.040697674,0.212209302
0.018518519,0.432098765
0.018054162,0.091273821
0.026998853,0.036797665
0.05,0.095
0.039370079,0.141732283
0.015574651,0.117615467
0.079545455,0.416666667
0.042160738,0.055335968
0.054258675,0.064353312
0.032,0.097777778
0.050750536,0.069335239
0.142857143,0.607142857
0.088888889,0.111111111
0.044289044,0.222610723
0.040816327,0.285714286
0.04011065,0.107883817
0.022727273,0.022727273
0.040100251,0.072681704
0.041237113,0.113402062
0.032448378,0.032448378
0.043604651,0.063953488
0.022099448,0.022307933
0.05,0.05
0.013024602,0.655571635
0.05511811,0.086614173
0.01396348,0.036519871
0.083333333,0.09469697
0.042160738,0.048748353
0.027555556,0.029333333
0.045746962,0.064331665
0.032732131,0.058116232
0.037974684,0.037974684
