HDP1,HDP1-No
0.391735539,0.389648308
0.55206976,0.341952
0.705019692,0.500576369
0.61083705,0.530734926
0.802423844,0.578785886
0.499716489,0.428481655
0.50108389,0.432541715
0.468430588,0.410025999
0.327551935,0.544617159
0.350709484,0.296613493
0.690938359,0.582453523
0.645309968,0.609994329
0.902113215,0.766650409
0.522391508,0.491103642
0.494976345,0.449816298
0.460583726,0.350326596
0.36281186,0.307923826
0.55439296,0.475072
0.671544189,0.515321806
0.622805136,0.504471319
0.677525751,0.594017094
0.382588582,0.603664137
0.505224683,0.417062674
0.192825098,0.292325514
0.336437998,0.331248063
0.373984607,0.314252961
0.281334994,0.244877981
0.357690424,0.305156951
0.363672338,0.31291605
0.605755302,0.419491565
0.56546998,0.467336273
0.482154121,0.445416106
0.445896035,0.38115364
0.377012832,0.415892187
0.722670944,0.555282168
0.369542438,0.442938029
0.703559981,0.456711091
0.296726932,0.438409336
0.48762815,0.538274814
0.765387917,0.532359071
0.693393955,0.506874108
0.860713066,0.691511072
0.583077616,0.583711202
0.517119147,0.456871968
0.789426321,0.476532376
0.662909366,0.579633314
0.589072998,0.382015351
0.271408999,0.317705631
0.486160876,0.477269432
0.78326493,0.627577726
0.473300518,0.667333431
0.666452369,0.548366911
0.338127587,0.603978516
0.357457103,0.414822466
0.228057742,0.313614106
0.394881881,0.623437814
0.643563545,0.349949806
0.567448252,0.602017158
0.238598162,0.724776967
0.464875842,0.489469504
0.429161478,0.444593547
0.442536702,0.353148729
0.383963735,0.335171093
0.34604145,0.607532135
0.659868438,0.409029398
0.655114602,0.454424994
0.865089237,0.745309218
0.625286305,0.468057067
0.44231375,0.531567195
0.359502793,0.556172725
0.460980302,0.554160248
0.579351179,0.510505265
0.425875788,0.700045612
0.530691311,0.54093535
0.116016701,0.531437746
0.328368992,0.50980715
0.263538668,0.461485112
0.421539604,0.302445925
0.521874318,0.354680038
0.388715003,0.343589983
0.470527814,0.388298531
0.281334994,0.775337682
0.442348869,0.373684996
0.363672338,0.316630013
0.594200125,0.546880924
0.572274283,0.532124397
0.48615085,0.380089669
0.42480644,0.521538554
0.4411418,0.476599175
0.291873449,0.244351119
0.461291348,0.219863011
0.341711255,0.689621382
0.048634186,0.082000679
0.298666262,0.247602456
0.671346891,0.602858556
0.347627201,0.642313341
0.384568082,0.625527214
0.42203232,0.409963999
0.576629328,0.502138839
0.355507612,0.733947276
0.506977005,0.567466875
0.504233245,0.550965665
0.363562338,0.474159188
0.731984729,0.511356954
0.371160103,0.578109674
0.366489444,0.665185528
0.546770939,0.470939283
0.541015164,0.588084155
0.86583598,0.40607985
0.587020735,0.63399537
0.625759824,0.600395099
0.528187987,0.339084734
0.441099167,0.551557058
0.337061222,0.560908139
0.287780922,0.685864903
0.346901713,0.353839924
0.397047758,0.389578924
0.505176526,0.536014947
0.100185692,0.693934756
0.586336059,0.524049501
0.217942792,0.837246483
0.315169029,0.639726127
0.540716659,0.415937851
0.614919171,0.55676829
0.795260157,0.379701518
