HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.163265306,0.132653061,0.112244898,0.183673469,0.081632653,0.091836735,0.173469388,0.071428571,0.469387755
0.051020408,0.163265306,0.12244898,0.193877551,0.244897959,0.091836735,0.173469388,0.071428571,0.469387755
0.06122449,0.183673469,0.204081633,0.163265306,0.193877551,0.091836735,0.173469388,0.071428571,0.469387755
0.142857143,0.234693878,0.173469388,0.193877551,0.255102041,0.091836735,0.173469388,0.071428571,0.469387755
0.163265306,0.183673469,0.132653061,0.183673469,0.408163265,0.091836735,0.173469388,0.071428571,0.469387755
0.102040816,0.163265306,0.132653061,0.183673469,0.12244898,0.091836735,0.173469388,0.071428571,0.469387755
0.142857143,0.173469388,0.081632653,0.153061224,0.214285714,0.091836735,0.173469388,0.071428571,0.469387755
0.132653061,0.132653061,0.102040816,0.102040816,0.204081633,0.091836735,0.173469388,0.071428571,0.469387755
0.051020408,0.163265306,0.153061224,0.132653061,0.204081633,0.091836735,0.173469388,0.071428571,0.469387755
0.102040816,0.12244898,0.153061224,0.12244898,0.091836735,0.091836735,0.173469388,0.071428571,0.469387755
0.132653061,0.091836735,0.102040816,0.12244898,0.163265306,0.091836735,0.173469388,0.071428571,0.469387755
0.142857143,0.12244898,0.06122449,0.102040816,0.193877551,0.091836735,0.173469388,0.071428571,0.469387755
0.163265306,0.132653061,0.153061224,0.132653061,0.214285714,0.091836735,0.173469388,0.071428571,0.469387755
0.102040816,0.183673469,0.173469388,0.214285714,0.448979592,0.091836735,0.173469388,0.071428571,0.469387755
0.051020408,0.071428571,0.112244898,0.081632653,0.132653061,0.091836735,0.173469388,0.071428571,0.469387755
0.071428571,0.112244898,0.112244898,0.091836735,0.071428571,0.091836735,0.173469388,0.071428571,0.469387755
0.076271186,0.381355932,0.169491525,0.406779661,0.13559322,0.118644068,0.13559322,0.084745763,0.474576271
0.050847458,0.279661017,0.161016949,0.415254237,0.06779661,0.118644068,0.13559322,0.084745763,0.474576271
0.042372881,0.144067797,0.186440678,0.228813559,0.110169492,0.118644068,0.13559322,0.084745763,0.474576271
0.059322034,0.254237288,0.186440678,0.415254237,0.177966102,0.118644068,0.13559322,0.084745763,0.474576271
0.076271186,0.093220339,0.177966102,0.415254237,0.194915254,0.118644068,0.13559322,0.084745763,0.474576271
0.042372881,0.13559322,0.177966102,0.245762712,0.211864407,0.118644068,0.13559322,0.084745763,0.474576271
0.076271186,0.355932203,0.177966102,0.161016949,0.042372881,0.118644068,0.13559322,0.084745763,0.474576271
0.076271186,0.118644068,0.144067797,0.118644068,0.177966102,0.118644068,0.13559322,0.084745763,0.474576271
0.06779661,0.118644068,0.177966102,0.127118644,0.084745763,0.118644068,0.13559322,0.084745763,0.474576271
0.06779661,0.093220339,0.144067797,0.101694915,0.161016949,0.118644068,0.13559322,0.084745763,0.474576271
0.076271186,0.194915254,0.161016949,0.127118644,0.110169492,0.118644068,0.13559322,0.084745763,0.474576271
0.076271186,0.101694915,0.144067797,0.110169492,0.152542373,0.118644068,0.13559322,0.084745763,0.474576271
0.076271186,0.093220339,0.186440678,0.144067797,0.177966102,0.118644068,0.13559322,0.084745763,0.474576271
0.06779661,0.381355932,0.203389831,0.440677966,0.186440678,0.118644068,0.13559322,0.084745763,0.474576271
0.059322034,0.169491525,0.152542373,0.144067797,0.059322034,0.118644068,0.13559322,0.084745763,0.474576271
0.389830508,0.228813559,0.194915254,0.355932203,0.13559322,0.118644068,0.13559322,0.084745763,0.474576271
0.084745763,0.152542373,0.169491525,0.127118644,0.06779661,0.118644068,0.13559322,0.084745763,0.474576271
0.136363636,0.181818182,0.227272727,0.181818182,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.181818182,0.181818182,0.272727273,0.181818182,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.181818182,0.272727273,0.181818182,0.272727273,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.227272727,0.181818182,0.136363636,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.227272727,0.272727273,0.272727273,0.272727273,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.227272727,0.409090909,0.227272727,0.181818182,0.181818182,0.227272727,0.136363636,0.409090909
0.090909091,0.227272727,0.227272727,0.227272727,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.227272727,0.272727273,0.181818182,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.181818182,0.136363636,0.181818182,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.090909091,0.227272727,0.318181818,0.136363636,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.090909091,0.227272727,0.181818182,0.181818182,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.181818182,0.181818182,0.272727273,0.181818182,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.181818182,0.227272727,0.136363636,0.181818182,0.181818182,0.227272727,0.136363636,0.409090909
0.181818182,0.136363636,0.181818182,0.181818182,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.181818182,0.227272727,0.136363636,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.136363636,0.181818182,0.136363636,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.181818182,0.227272727,0.227272727,0.272727273,0.272727273,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.181818182,0.181818182,0.227272727,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.136363636,0.227272727,0.090909091,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.181818182,0.181818182,0.227272727,0.181818182,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.090909091,0.272727273,0.136363636,0.181818182,0.181818182,0.181818182,0.227272727,0.136363636,0.409090909
0.227272727,0.272727273,0.272727273,0.090909091,0.318181818,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.318181818,0.181818182,0.272727273,0.318181818,0.181818182,0.227272727,0.136363636,0.409090909
0.181818182,0.272727273,0.227272727,0.318181818,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.227272727,0.136363636,0.181818182,0.136363636,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.227272727,0.181818182,0.272727273,0.227272727,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.181818182,0.090909091,0.136363636,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.318181818,0.318181818,0.136363636,0.272727273,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.136363636,0.090909091,0.181818182,0.136363636,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.181818182,0.136363636,0.227272727,0.136363636,0.136363636,0.181818182,0.227272727,0.136363636,0.409090909
0.046511628,0.100775194,0.186046512,0.108527132,0.07751938,0.100775194,0.139534884,0.069767442,0.534883721
0.062015504,0.186046512,0.217054264,0.248062016,0.131782946,0.100775194,0.139534884,0.069767442,0.534883721
0.046511628,0.170542636,0.186046512,0.139534884,0.279069767,0.100775194,0.139534884,0.069767442,0.534883721
0.062015504,0.15503876,0.139534884,0.19379845,0.069767442,0.100775194,0.139534884,0.069767442,0.534883721
0.07751938,0.201550388,0.162790698,0.162790698,0.069767442,0.100775194,0.139534884,0.069767442,0.534883721
0.062015504,0.255813953,0.178294574,0.15503876,0.093023256,0.100775194,0.139534884,0.069767442,0.534883721
0.054263566,0.162790698,0.224806202,0.15503876,0.062015504,0.100775194,0.139534884,0.069767442,0.534883721
0.124031008,0.170542636,0.201550388,0.170542636,0.062015504,0.100775194,0.139534884,0.069767442,0.534883721
0.11627907,0.170542636,0.23255814,0.162790698,0.217054264,0.100775194,0.139534884,0.069767442,0.534883721
0.11627907,0.178294574,0.240310078,0.11627907,0.341085271,0.100775194,0.139534884,0.069767442,0.534883721
0.054263566,0.15503876,0.217054264,0.147286822,0.271317829,0.100775194,0.139534884,0.069767442,0.534883721
0.062015504,0.217054264,0.23255814,0.162790698,0.255813953,0.100775194,0.139534884,0.069767442,0.534883721
0.062015504,0.15503876,0.201550388,0.178294574,0.085271318,0.100775194,0.139534884,0.069767442,0.534883721
0.093023256,0.11627907,0.209302326,0.108527132,0.054263566,0.100775194,0.139534884,0.069767442,0.534883721
0.131782946,0.186046512,0.15503876,0.23255814,0.062015504,0.100775194,0.139534884,0.069767442,0.534883721
0.046511628,0.209302326,0.178294574,0.186046512,0.348837209,0.100775194,0.139534884,0.069767442,0.534883721
0.062015504,0.139534884,0.217054264,0.11627907,0.178294574,0.100775194,0.139534884,0.069767442,0.534883721
0.364341085,0.271317829,0.178294574,0.170542636,0.07751938,0.100775194,0.139534884,0.069767442,0.534883721
0.054263566,0.139534884,0.186046512,0.085271318,0.19379845,0.100775194,0.139534884,0.069767442,0.534883721
0.093023256,0.162790698,0.209302326,0.170542636,0.310077519,0.100775194,0.139534884,0.069767442,0.534883721
0.054263566,0.15503876,0.186046512,0.147286822,0.062015504,0.100775194,0.139534884,0.069767442,0.534883721
0.077669903,0.218446602,0.218446602,0.13592233,0.072815534,0.116504854,0.223300971,0.072815534,0.368932039
0.106796117,0.305825243,0.213592233,0.27184466,0.262135922,0.116504854,0.223300971,0.072815534,0.368932039
0.087378641,0.330097087,0.213592233,0.252427184,0.203883495,0.116504854,0.223300971,0.072815534,0.368932039
0.067961165,0.27184466,0.218446602,0.286407767,0.150485437,0.116504854,0.223300971,0.072815534,0.368932039
0.213592233,0.213592233,0.203883495,0.213592233,0.053398058,0.116504854,0.223300971,0.072815534,0.368932039
0.09223301,0.160194175,0.218446602,0.131067961,0.087378641,0.116504854,0.223300971,0.072815534,0.368932039
0.087378641,0.174757282,0.213592233,0.203883495,0.067961165,0.116504854,0.223300971,0.072815534,0.368932039
0.218446602,0.145631068,0.213592233,0.155339806,0.203883495,0.116504854,0.223300971,0.072815534,0.368932039
0.087378641,0.281553398,0.218446602,0.155339806,0.194174757,0.116504854,0.223300971,0.072815534,0.368932039
0.09223301,0.165048544,0.218446602,0.247572816,0.087378641,0.116504854,0.223300971,0.072815534,0.368932039
0.101941748,0.213592233,0.218446602,0.242718447,0.111650485,0.116504854,0.223300971,0.072815534,0.368932039
0.22815534,0.160194175,0.208737864,0.169902913,0.13592233,0.116504854,0.223300971,0.072815534,0.368932039
0.077669903,0.252427184,0.218446602,0.300970874,0.373786408,0.116504854,0.223300971,0.072815534,0.368932039
0.09223301,0.237864078,0.213592233,0.174757282,0.116504854,0.116504854,0.223300971,0.072815534,0.368932039
0.04368932,0.223300971,0.213592233,0.315533981,0.344660194,0.116504854,0.223300971,0.072815534,0.368932039
0.131067961,0.174757282,0.218446602,0.126213592,0.145631068,0.116504854,0.223300971,0.072815534,0.368932039
0.291262136,0.22815534,0.218446602,0.266990291,0.126213592,0.116504854,0.223300971,0.072815534,0.368932039
0.223300971,0.194174757,0.218446602,0.257281553,0.325242718,0.116504854,0.223300971,0.072815534,0.368932039
0.09223301,0.140776699,0.218446602,0.150485437,0.087378641,0.116504854,0.223300971,0.072815534,0.368932039
0.03125,0.203125,0.296875,0.265625,0.265625,0.40625,0.453125,0.375,0.515625
0.03125,0.0625,0.296875,0.109375,0.21875,0.40625,0.453125,0.375,0.515625
0.0625,0.1875,0.296875,0.1875,0.125,0.40625,0.453125,0.375,0.515625
0.21875,0.28125,0.296875,0.140625,0.078125,0.40625,0.453125,0.375,0.515625
0.09375,0.171875,0.28125,0.25,0.0625,0.40625,0.453125,0.375,0.515625
0.375,0.265625,0.296875,0.140625,0.0625,0.40625,0.453125,0.375,0.515625
0.28125,0.28125,0.296875,0.203125,0.1875,0.40625,0.453125,0.375,0.515625
0.234375,0.234375,0.28125,0.21875,0.3125,0.40625,0.453125,0.375,0.515625
0.234375,0.265625,0.296875,0.203125,0.046875,0.40625,0.453125,0.375,0.515625
0.375,0.3125,0.296875,0.359375,0.15625,0.40625,0.453125,0.375,0.515625
0.03125,0.265625,0.296875,0.1875,0.046875,0.40625,0.453125,0.375,0.515625
0.0625,0.171875,0.296875,0.203125,0.296875,0.40625,0.453125,0.375,0.515625
0.0625,0.21875,0.296875,0.28125,0.0625,0.40625,0.453125,0.375,0.515625
0.1875,0.25,0.296875,0.265625,0.390625,0.40625,0.453125,0.375,0.515625
0.171875,0.203125,0.296875,0.140625,0.109375,0.40625,0.453125,0.375,0.515625
0.03125,0.375,0.296875,0.296875,0.0625,0.40625,0.453125,0.375,0.515625
0.065306122,0.32244898,0.285714286,0.330612245,0.06122449,0.183673469,0.175510204,0.191836735,0.395918367
0.065306122,0.302040816,0.297959184,0.167346939,0.07755102,0.183673469,0.175510204,0.191836735,0.395918367
0.069387755,0.293877551,0.293877551,0.342857143,0.212244898,0.183673469,0.175510204,0.191836735,0.395918367
0.065306122,0.208163265,0.285714286,0.342857143,0.269387755,0.183673469,0.175510204,0.191836735,0.395918367
0.057142857,0.318367347,0.302040816,0.342857143,0.097959184,0.183673469,0.175510204,0.191836735,0.395918367
0.13877551,0.240816327,0.281632653,0.27755102,0.163265306,0.183673469,0.175510204,0.191836735,0.395918367
0.146938776,0.248979592,0.293877551,0.314285714,0.06122449,0.183673469,0.175510204,0.191836735,0.395918367
0.155102041,0.146938776,0.285714286,0.26122449,0.187755102,0.183673469,0.175510204,0.191836735,0.395918367
0.220408163,0.289795918,0.236734694,0.302040816,0.134693878,0.183673469,0.175510204,0.191836735,0.395918367
0.204081633,0.314285714,0.297959184,0.220408163,0.126530612,0.183673469,0.175510204,0.191836735,0.395918367
0.204081633,0.179591837,0.285714286,0.302040816,0.232653061,0.183673469,0.175510204,0.191836735,0.395918367
0.134693878,0.208163265,0.293877551,0.195918367,0.114285714,0.183673469,0.175510204,0.191836735,0.395918367
0.065306122,0.285714286,0.293877551,0.314285714,0.057142857,0.183673469,0.175510204,0.191836735,0.395918367
0.065306122,0.289795918,0.293877551,0.318367347,0.314285714,0.183673469,0.175510204,0.191836735,0.395918367
0.069387755,0.297959184,0.297959184,0.236734694,0.13877551,0.183673469,0.175510204,0.191836735,0.395918367
0.240816327,0.334693878,0.297959184,0.342857143,0.191836735,0.183673469,0.175510204,0.191836735,0.395918367
0.191836735,0.265306122,0.297959184,0.285714286,0.257142857,0.183673469,0.175510204,0.191836735,0.395918367
0.100478469,0.210526316,0.23923445,0.224880383,0.172248804,0.105263158,0.162679426,0.196172249,0.301435407
0.086124402,0.296650718,0.229665072,0.306220096,0.153110048,0.105263158,0.162679426,0.196172249,0.301435407
0.09569378,0.23923445,0.244019139,0.196172249,0.186602871,0.105263158,0.162679426,0.196172249,0.301435407
0.234449761,0.196172249,0.229665072,0.28708134,0.153110048,0.105263158,0.162679426,0.196172249,0.301435407
0.220095694,0.167464115,0.23923445,0.234449761,0.086124402,0.105263158,0.162679426,0.196172249,0.301435407
0.124401914,0.215311005,0.229665072,0.267942584,0.119617225,0.105263158,0.162679426,0.196172249,0.301435407
0.200956938,0.200956938,0.224880383,0.277511962,0.148325359,0.105263158,0.162679426,0.196172249,0.301435407
0.215311005,0.220095694,0.234449761,0.244019139,0.124401914,0.105263158,0.162679426,0.196172249,0.301435407
0.138755981,0.205741627,0.234449761,0.200956938,0.205741627,0.105263158,0.162679426,0.196172249,0.301435407
0.105263158,0.200956938,0.229665072,0.248803828,0.253588517,0.105263158,0.162679426,0.196172249,0.301435407
0.186602871,0.253588517,0.23923445,0.224880383,0.138755981,0.105263158,0.162679426,0.196172249,0.301435407
0.23923445,0.234449761,0.234449761,0.224880383,0.105263158,0.105263158,0.162679426,0.196172249,0.301435407
0.167464115,0.148325359,0.234449761,0.28708134,0.267942584,0.105263158,0.162679426,0.196172249,0.301435407
0.186602871,0.229665072,0.234449761,0.220095694,0.09569378,0.105263158,0.162679426,0.196172249,0.301435407
0.090909091,0.157894737,0.23923445,0.215311005,0.263157895,0.105263158,0.162679426,0.196172249,0.301435407
0.263157895,0.234449761,0.234449761,0.220095694,0.162679426,0.105263158,0.162679426,0.196172249,0.301435407
0.220095694,0.253588517,0.234449761,0.229665072,0.253588517,0.105263158,0.162679426,0.196172249,0.301435407
0.110047847,0.196172249,0.23923445,0.224880383,0.100478469,0.105263158,0.162679426,0.196172249,0.301435407
0.222222222,0.333333333,0.222222222,0.333333333,0.333333333,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.333333333,0.444444444,0.222222222,0.333333333,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.222222222,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444
0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.333333333,0,0.111111111,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.222222222,0.222222222,0.333333333,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444
0.111111111,0.111111111,0.333333333,0,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.111111111,0.222222222,0.444444444,0.333333333,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.444444444,0,0.333333333,0.333333333,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.111111111,0.555555556,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.222222222,0.444444444,0.222222222,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.222222222,0.111111111,0.333333333,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444
0.333333333,0.222222222,0.222222222,0.333333333,0.222222222,0.222222222,0.222222222,0.222222222,0.444444444
0.222222222,0.222222222,0.444444444,0.222222222,0.111111111,0.222222222,0.222222222,0.222222222,0.444444444
