HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.638605442,0.527954932,0.485756803,0.627763605,0.543154762,0.717261905,0.760629252,0.748405612,0.775775935
0.783056973,0.673469388,0.517272534,0.617772109,0.486341412,0.717261905,0.760629252,0.748405612,0.775775935
0.734215561,0.607568027,0.491709184,0.559204932,0.639030612,0.717261905,0.760629252,0.748405612,0.775775935
0.689838435,0.556919643,0.46960034,0.629039116,0.465454932,0.717261905,0.760629252,0.748405612,0.775775935
0.561437075,0.582908163,0.518229167,0.574723639,0.295546344,0.717261905,0.760629252,0.748405612,0.775775935
0.593962585,0.533588435,0.503826531,0.610703656,0.758769133,0.717261905,0.760629252,0.748405612,0.775775935
0.629039116,0.476828231,0.482886905,0.544430272,0.579294218,0.717261905,0.760629252,0.748405612,0.775775935
0.664859694,0.57073767,0.477784864,0.597045068,0.529868197,0.717261905,0.760629252,0.748405612,0.775775935
0.776360544,0.618941327,0.497236395,0.567389456,0.575892857,0.717261905,0.760629252,0.748405612,0.775775935
0.623193027,0.547353316,0.511320153,0.599914966,0.670386905,0.717261905,0.760629252,0.748405612,0.775775935
0.664859694,0.576477466,0.505048895,0.602784864,0.683567177,0.717261905,0.760629252,0.748405612,0.775775935
0.629995748,0.648331207,0.502178997,0.52869898,0.642644558,0.717261905,0.760629252,0.748405612,0.775775935
0.638286565,0.483418367,0.485863095,0.573660714,0.551764456,0.717261905,0.760629252,0.748405612,0.775775935
0.705729167,0.653114371,0.501594388,0.671875,0.256005527,0.717261905,0.760629252,0.748405612,0.775775935
0.745907738,0.645195578,0.544855442,0.584396259,0.75255102,0.717261905,0.760629252,0.748405612,0.775775935
0.761851616,0.632653061,0.49744898,0.626062925,0.700892857,0.717261905,0.760629252,0.748405612,0.775775935
0.615025032,0.432897038,0.509379335,0.473520719,0.511550757,0.641293202,0.652979673,0.65104952,0.660926473
0.635065444,0.490620665,0.508519814,0.513420592,0.517959467,0.641293202,0.652979673,0.65104952,0.660926473
0.642650341,0.441205742,0.530987997,0.407367754,0.580312443,0.641293202,0.652979673,0.65104952,0.660926473
0.650325713,0.591501297,0.490409554,0.514008686,0.497180168,0.641293202,0.652979673,0.65104952,0.660926473
0.509680922,0.453977924,0.507630135,0.488690512,0.463508052,0.641293202,0.652979673,0.65104952,0.660926473
0.667093914,0.536974486,0.52628325,0.450735871,0.331383075,0.641293202,0.652979673,0.65104952,0.660926473
0.635351951,0.462784245,0.513495989,0.453043006,0.63869956,0.641293202,0.652979673,0.65104952,0.660926473
0.635351951,0.588666385,0.516632487,0.54063876,0.497557151,0.641293202,0.652979673,0.65104952,0.660926473
0.578020387,0.502020629,0.520598347,0.436289885,0.598136196,0.641293202,0.652979673,0.65104952,0.660926473
0.570706918,0.535753061,0.517175342,0.548283974,0.488358767,0.641293202,0.652979673,0.65104952,0.660926473
0.624132939,0.436877978,0.523433259,0.474395319,0.520296761,0.641293202,0.652979673,0.65104952,0.660926473
0.624132939,0.54306653,0.514551541,0.526675312,0.476114362,0.641293202,0.652979673,0.65104952,0.660926473
0.624132939,0.49711985,0.535270523,0.459919175,0.505338078,0.641293202,0.652979673,0.65104952,0.660926473
0.632637674,0.430393872,0.512847578,0.496109536,0.429278002,0.641293202,0.652979673,0.65104952,0.660926473
0.650793172,0.484875445,0.512093612,0.515411062,0.626515471,0.641293202,0.652979673,0.65104952,0.660926473
0.454415224,0.431268472,0.515350745,0.449122384,0.543096689,0.641293202,0.652979673,0.65104952,0.660926473
0.601740153,0.524926111,0.519165812,0.554360939,0.592858435,0.641293202,0.652979673,0.65104952,0.660926473
0.877005348,0.718582888,0.34157754,0.727272727,0.67513369,0.779411765,0.762032086,0.762032086,0.834224599
0.565508021,0.804144385,0.47459893,0.667112299,0.423796791,0.779411765,0.762032086,0.762032086,0.834224599
0.539438503,0.769385027,0.543449198,0.676470588,0.413101604,0.779411765,0.762032086,0.762032086,0.834224599
0.830213904,0.701203209,0.47459893,0.725935829,0.506684492,0.779411765,0.762032086,0.762032086,0.834224599
0.807486631,0.518048128,0.602941176,0.637700535,0.494652406,0.779411765,0.762032086,0.762032086,0.834224599
0.313502674,0.742647059,0.520053476,0.703208556,0.192513369,0.779411765,0.762032086,0.762032086,0.834224599
0.590909091,0.534090909,0.393716578,0.639037433,0.122994652,0.779411765,0.762032086,0.762032086,0.834224599
0.696524064,0.630347594,0.360294118,0.756684492,0.798128342,0.779411765,0.762032086,0.762032086,0.834224599
0.870320856,0.552807487,0.477941176,0.800802139,0.505347594,0.779411765,0.762032086,0.762032086,0.834224599
0.720588235,0.510695187,0.70855615,0.61631016,0.549465241,0.779411765,0.762032086,0.762032086,0.834224599
0.715240642,0.396390374,0.687165775,0.537433155,0.612967914,0.779411765,0.762032086,0.762032086,0.834224599
0.875668449,0.494652406,0.623663102,0.632352941,0.521390374,0.779411765,0.762032086,0.762032086,0.834224599
0.705882353,0.754679144,0.54144385,0.697860963,0.597593583,0.779411765,0.762032086,0.762032086,0.834224599
0.513368984,0.554144385,0.740641711,0.70855615,0.550802139,0.779411765,0.762032086,0.762032086,0.834224599
0.445855615,0.731951872,0.530748663,0.743315508,0.779411765,0.779411765,0.762032086,0.762032086,0.834224599
0.871657754,0.760026738,0.446524064,0.740641711,0.601604278,0.779411765,0.762032086,0.762032086,0.834224599
0.582219251,0.692513369,0.689839572,0.556149733,0.625668449,0.779411765,0.762032086,0.762032086,0.834224599
0.820855615,0.76671123,0.44184492,0.784759358,0.50802139,0.779411765,0.762032086,0.762032086,0.834224599
0.870320856,0.489304813,0.64973262,0.751336898,0.505347594,0.779411765,0.762032086,0.762032086,0.834224599
0.513368984,0.720588235,0.504679144,0.747326203,0.506684492,0.779411765,0.762032086,0.762032086,0.834224599
0.707887701,0.484625668,0.568850267,0.532085561,0.682486631,0.779411765,0.762032086,0.762032086,0.834224599
