HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.231404959,0.234375,0.447058824,0.229508197,0.32,0.715025907,0.725388601,0.603550296,0.731958763
0.077669903,0.396946565,0.472727273,0.090909091,0.608058608,0.715025907,0.725388601,0.603550296,0.731958763
0.283333333,0.320610687,0.465116279,0.206349206,0.698795181,0.715025907,0.725388601,0.603550296,0.731958763
0.490322581,0.362318841,0.31884058,0.159292035,0.075471698,0.715025907,0.725388601,0.603550296,0.731958763
0.019417476,0.234375,0.470588235,0.204724409,0.176,0.715025907,0.725388601,0.603550296,0.731958763
0,0.108108108,0.458823529,0.137931034,0.719665272,0.715025907,0.725388601,0.603550296,0.731958763
0,0.246376812,0.465116279,0.294117647,0.679245283,0.715025907,0.725388601,0.603550296,0.731958763
0.126126126,0.41025641,0.465116279,0.422360248,0.671428571,0.715025907,0.725388601,0.603550296,0.731958763
0.196428571,0.392405063,0.465116279,0.387096774,0.673835125,0.715025907,0.725388601,0.603550296,0.731958763
0.02020202,0.448484848,0.458823529,0.466257669,0.703862661,0.715025907,0.725388601,0.603550296,0.731958763
0.112149533,0.28358209,0.467836257,0.210526316,0.694444444,0.715025907,0.725388601,0.603550296,0.731958763
0.276923077,0.460526316,0.470588235,0.246376812,0.70292887,0.715025907,0.725388601,0.603550296,0.731958763
0.075471698,0.195121951,0.437869822,0.178861789,0.644897959,0.715025907,0.725388601,0.603550296,0.731958763
0.113207547,0.272,0.394557823,0.26446281,0.158940397,0.715025907,0.725388601,0.603550296,0.731958763
0.112149533,0.372413793,0.470588235,0.375838926,0.697318008,0.715025907,0.725388601,0.603550296,0.731958763
0.04,0.451612903,0.465116279,0.397350993,0.619047619,0.715025907,0.725388601,0.603550296,0.731958763
0.209876543,0.151724138,0.291666667,0.339181287,0.016528926,0.454237288,0.504731861,0.443579767,0.529968454
0.197368421,0.197530864,0.287234043,0.344370861,0.456289979,0.454237288,0.504731861,0.443579767,0.529968454
0.2,0.157894737,0.294736842,0.104575163,0.269005848,0.454237288,0.504731861,0.443579767,0.529968454
0.415584416,0.428115016,0.209876543,0.387434555,0,0.454237288,0.504731861,0.443579767,0.529968454
0,0.10738255,0.291666667,0.092715232,0.271317829,0.454237288,0.504731861,0.443579767,0.529968454
0.031496063,0.115107914,0.310880829,0.097560976,0,0.454237288,0.504731861,0.443579767,0.529968454
0,0.073529412,0.300518135,0.061538462,0.299465241,0.454237288,0.504731861,0.443579767,0.529968454
0.409302326,0.282722513,0.306122449,0.253968254,0.457364341,0.454237288,0.504731861,0.443579767,0.529968454
0.079470199,0.147239264,0.310880829,0.146341463,0.047244094,0.454237288,0.504731861,0.443579767,0.529968454
0.086956522,0.217142857,0.307692308,0.243093923,0.457364341,0.454237288,0.504731861,0.443579767,0.529968454
0.25,0.184466019,0.302083333,0.139240506,0.342857143,0.454237288,0.504731861,0.443579767,0.529968454
0.016528926,0.267379679,0.309278351,0.218579235,0.409586057,0.454237288,0.504731861,0.443579767,0.529968454
0.151724138,0.095238095,0.310880829,0.127388535,0.458252427,0.454237288,0.504731861,0.443579767,0.529968454
0.272189349,0.35326087,0.247058824,0.373401535,0.142076503,0.454237288,0.504731861,0.443579767,0.529968454
0.07751938,0.25,0.300518135,0.239130435,0.45,0.454237288,0.504731861,0.443579767,0.529968454
0.402654867,0.378947368,0.307692308,0.363095238,0.417142857,0.454237288,0.504731861,0.443579767,0.529968454
0.048,0.227027027,0.307692308,0.269662921,0.076335878,0.454237288,0.504731861,0.443579767,0.529968454
0.625,0.6,0.575342466,0.615384615,0.428571429,0.680851064,0.693877551,0.666666667,0.693877551
0,0.545454545,0.520547945,0.4375,0,0.680851064,0.693877551,0.666666667,0.693877551
0.08,0.571428571,0.602739726,0.55,0.514285714,0.680851064,0.693877551,0.666666667,0.693877551
0.611111111,0.622222222,0.6,0.651162791,0.465116279,0.680851064,0.693877551,0.666666667,0.693877551
0.666666667,0.47826087,0.576271186,0.592592593,0,0.680851064,0.693877551,0.666666667,0.693877551
0,0.594594595,0.611111111,0.564102564,0.177777778,0.680851064,0.693877551,0.666666667,0.693877551
0,0.418604651,0.56,0.571428571,0,0.680851064,0.693877551,0.666666667,0.693877551
0,0.424242424,0.578947368,0.529411765,0.590909091,0.680851064,0.693877551,0.666666667,0.693877551
0.24,0.607142857,0.6,0.678571429,0.56,0.680851064,0.693877551,0.666666667,0.693877551
0.636363636,0.129032258,0.608695652,0.47826087,0.594594595,0.680851064,0.693877551,0.666666667,0.693877551
0.083333333,0.125,0.617647059,0.292682927,0.591549296,0.680851064,0.693877551,0.666666667,0.693877551
0.086956522,0.363636364,0.579710145,0.538461538,0.266666667,0.680851064,0.693877551,0.666666667,0.693877551
0.16,0.705882353,0.591549296,0.653846154,0.230769231,0.680851064,0.693877551,0.666666667,0.693877551
0,0.076923077,0.61971831,0.558139535,0.594594595,0.680851064,0.693877551,0.666666667,0.693877551
0,0.64,0.6,0.655172414,0.166666667,0.680851064,0.693877551,0.666666667,0.693877551
0.648648649,0.620689655,0.591549296,0.666666667,0.418604651,0.680851064,0.693877551,0.666666667,0.693877551
0,0.148148148,0.637681159,0.409090909,0.553846154,0.680851064,0.693877551,0.666666667,0.693877551
0.413793103,0.666666667,0.579710145,0.666666667,0.578947368,0.680851064,0.693877551,0.666666667,0.693877551
0.24,0.53125,0.6,0.653061224,0.56,0.680851064,0.693877551,0.666666667,0.693877551
0,0.571428571,0.608695652,0.540540541,0.56,0.680851064,0.693877551,0.666666667,0.693877551
0,0.148148148,0.637681159,0.444444444,0.56,0.680851064,0.693877551,0.666666667,0.693877551
0,0.125,0.61971831,0.465116279,0,0.680851064,0.693877551,0.666666667,0.693877551
0,0.193548387,0.61971831,0.409090909,0,0.680851064,0.693877551,0.666666667,0.693877551
0,0.068965517,0.628571429,0.292682927,0.591549296,0.680851064,0.693877551,0.666666667,0.693877551
0.590163934,0.311111111,0.16,0.679245283,0.59375,0.680851064,0.693877551,0.666666667,0.693877551
0.230769231,0.363636364,0.617647059,0.482758621,0.060606061,0.680851064,0.693877551,0.666666667,0.693877551
0,0.5,0.6,0.583333333,0.641509434,0.680851064,0.693877551,0.666666667,0.693877551
0.484848485,0.378378378,0.083333333,0.551724138,0.524590164,0.680851064,0.693877551,0.666666667,0.693877551
0,0.307692308,0.628571429,0.52,0.4,0.680851064,0.693877551,0.666666667,0.693877551
0,0.607142857,0,0.641509434,0.666666667,0.680851064,0.693877551,0.666666667,0.693877551
0.626415094,0.271356784,0.343612335,0.25,0.614754098,0.643137255,0.669090909,0.619246862,0.64137931
0.243243243,0.16080402,0.345454545,0.076190476,0.015037594,0.643137255,0.669090909,0.619246862,0.64137931
0.130434783,0.212389381,0.309090909,0.060301508,0.406504065,0.643137255,0.669090909,0.619246862,0.64137931
0.060150376,0.127659574,0.342342342,0.087378641,0.264550265,0.643137255,0.669090909,0.619246862,0.64137931
0.130434783,0.116959064,0.336283186,0.137931034,0.385964912,0.643137255,0.669090909,0.619246862,0.64137931
0,0.097560976,0.345132743,0.08839779,0.220689655,0.643137255,0.669090909,0.619246862,0.64137931
0.24,0.203208556,0.336283186,0.2,0.230366492,0.643137255,0.669090909,0.619246862,0.64137931
0.015151515,0.219895288,0.346666667,0.2375,0.153846154,0.643137255,0.669090909,0.619246862,0.64137931
0.233766234,0.242105263,0.337777778,0.193548387,0.288135593,0.643137255,0.669090909,0.619246862,0.64137931
