HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
1,0,1,0,0,0,0,3,1
1,1,0,0,0,0,0,3,1
0,0,1,0,0,0,0,3,1
1,2,1,0,1,0,0,3,1
3,0,0,0,2,0,0,3,1
4,0,0,0,0,0,0,3,1
0,3,1,0,0,0,0,3,1
1,0,4,0,0,0,0,3,1
1,0,2,1,0,0,0,3,1
0,0,2,1,1,0,0,3,1
1,0,1,0,0,0,0,3,1
0,0,0,0,0,0,0,3,1
1,0,1,0,0,0,0,3,1
2,0,0,0,2,0,0,3,1
1,0,4,0,0,0,0,3,1
0,0,2,0,0,0,0,3,1
0,2,0,1,2,2,2,3,19
1,2,3,1,3,2,2,3,19
1,2,4,2,5,2,2,3,19
1,2,3,0,0,2,2,3,19
0,3,1,2,4,2,2,3,19
1,0,0,4,23,2,2,3,19
3,2,0,1,0,2,2,3,19
3,0,0,0,1,2,2,3,19
0,3,0,2,5,2,2,3,19
2,0,1,0,1,2,2,3,19
1,2,0,1,5,2,2,3,19
1,0,1,0,6,2,2,3,19
1,1,0,4,1,2,2,3,19
0,1,4,2,0,2,2,3,19
0,2,0,0,0,2,2,3,19
0,3,0,0,2,2,2,3,19
1,1,0,0,4,2,2,3,19
0,3,9,2,0,0,0,0,12
1,1,1,1,1,0,0,0,12
0,0,0,1,0,0,0,0,12
0,0,3,1,2,0,0,0,12
0,0,1,1,0,0,0,0,12
4,0,1,1,17,0,0,0,12
1,0,1,1,15,0,0,0,12
1,2,7,1,0,0,0,0,12
0,0,7,0,1,0,0,0,12
0,5,0,2,1,0,0,0,12
0,5,0,4,1,0,0,0,12
0,2,3,0,0,0,0,0,12
0,0,0,0,1,0,0,0,12
3,2,0,0,1,0,0,0,12
3,0,2,1,0,0,0,0,12
0,0,10,0,2,0,0,0,12
3,0,0,0,1,0,0,0,12
0,0,6,0,1,0,0,0,12
0,0,0,1,1,0,0,0,12
3,0,0,1,1,0,0,0,12
0,1,2,3,1,0,0,0,12
3,3,0,0,0,0,0,0,12
0,2,0,0,0,0,0,0,12
3,1,0,1,1,0,0,0,12
1,1,1,0,0,0,0,0,12
0,3,2,2,7,0,0,0,12
0,1,3,0,0,0,0,0,12
0,1,0,0,1,0,0,0,12
0,4,3,0,0,0,0,0,12
3,0,4,0,0,0,0,0,12
0,0,4,0,0,0,0,0,9
0,0,0,0,2,0,0,0,9
0,0,0,0,40,0,0,0,9
0,1,26,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,1,6,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
2,0,0,0,0,0,0,0,9
0,0,30,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,1,0,0,0,0,0,9
0,0,0,0,0,0,0,0,9
0,0,8,0,0,0,0,0,9
0,1,0,0,0,0,0,0,9
0,0,25,0,0,0,0,0,9
0,0,0,0,13,0,0,0,9
0,0,0,0,27,0,0,0,9
0,0,4,0,0,0,0,0,9
0,0,10,0,0,0,0,0,9
0,0,1,0,28,0,0,0,9
0,0,1,0,0,0,0,0,9
0,0,6,0,0,0,2,0,4
1,2,0,6,0,0,2,0,4
0,0,3,11,26,0,2,0,4
0,5,3,5,1,0,2,0,4
2,1,5,0,0,0,2,0,4
0,1,1,1,2,0,2,0,4
0,1,2,1,0,0,2,0,4
3,1,5,0,0,0,2,0,4
1,0,9,0,1,0,2,0,4
0,0,7,1,0,0,2,0,4
1,1,6,0,0,0,2,0,4
4,1,2,0,0,0,2,0,4
0,7,0,8,3,0,2,0,4
0,0,3,0,0,0,2,0,4
0,12,2,3,17,0,2,0,4
2,1,2,1,0,0,2,0,4
4,1,3,5,1,0,2,0,4
2,1,1,2,0,0,2,0,4
0,0,7,0,2,0,2,0,4
1,9,10,7,0,1,1,0,52
1,24,9,19,1,1,1,0,52
9,1,6,8,5,1,1,0,52
0,6,7,5,0,1,1,0,52
1,17,8,3,0,1,1,0,52
1,1,6,10,0,1,1,0,52
1,6,9,1,2,1,1,0,52
2,1,7,0,0,1,1,0,52
0,1,9,2,4,1,1,0,52
0,0,0,1,5,1,1,0,52
1,0,13,13,0,1,1,0,52
0,6,3,8,1,1,1,0,52
0,2,0,0,4,1,1,0,52
0,3,9,5,0,1,1,0,52
2,10,1,10,3,1,1,0,52
1,2,4,4,0,1,1,0,52
5,0,0,1,4,1,9,1,0
3,8,2,5,3,1,9,1,0
2,2,0,1,0,1,9,1,0
3,8,1,3,1,1,9,1,0
1,1,0,1,1,1,9,1,0
0,0,2,2,4,1,9,1,0
0,3,14,1,1,1,9,1,0
6,1,3,2,2,1,9,1,0
2,3,14,3,3,1,9,1,0
0,0,4,8,12,1,9,1,0
0,0,2,1,0,1,9,1,0
