HDP1,HDP2,HDP3,HDP4,HDP5,UDP1,UDP2,UDP3,UDP4
0.144329897,0.139175258,0.072164948,0.149484536,0.051546392,0.077319588,0.097938144,0.06185567,0.664948454
0.036082474,0.108247423,0.134020619,0.175257732,0.206185567,0.077319588,0.097938144,0.06185567,0.664948454
0.041237113,0.139175258,0.170103093,0.164948454,0.159793814,0.077319588,0.097938144,0.06185567,0.664948454
0.092783505,0.195876289,0.170103093,0.139175258,0.288659794,0.077319588,0.097938144,0.06185567,0.664948454
0.195876289,0.175257732,0.118556701,0.180412371,0.592783505,0.077319588,0.097938144,0.06185567,0.664948454
0.118556701,0.139175258,0.108247423,0.180412371,0.077319588,0.077319588,0.097938144,0.06185567,0.664948454
0.12371134,0.190721649,0.097938144,0.139175258,0.195876289,0.077319588,0.097938144,0.06185567,0.664948454
0.128865979,0.087628866,0.118556701,0.072164948,0.206185567,0.077319588,0.097938144,0.06185567,0.664948454
0.036082474,0.12371134,0.128865979,0.113402062,0.190721649,0.077319588,0.097938144,0.06185567,0.664948454
0.108247423,0.087628866,0.134020619,0.087628866,0.072164948,0.077319588,0.097938144,0.06185567,0.664948454
0.128865979,0.108247423,0.108247423,0.139175258,0.097938144,0.077319588,0.097938144,0.06185567,0.664948454
0.12371134,0.087628866,0.092783505,0.118556701,0.159793814,0.077319588,0.097938144,0.06185567,0.664948454
0.144329897,0.139175258,0.118556701,0.154639175,0.195876289,0.077319588,0.097938144,0.06185567,0.664948454
0.067010309,0.144329897,0.159793814,0.144329897,0.603092784,0.077319588,0.097938144,0.06185567,0.664948454
0.036082474,0.06185567,0.113402062,0.067010309,0.077319588,0.077319588,0.097938144,0.06185567,0.664948454
0.041237113,0.072164948,0.097938144,0.06185567,0.041237113,0.077319588,0.097938144,0.06185567,0.664948454
0.062656642,0.486215539,0.117794486,0.436090226,0.155388471,0.070175439,0.100250627,0.050125313,0.629072682
0.040100251,0.338345865,0.115288221,0.401002506,0.062656642,0.070175439,0.100250627,0.050125313,0.629072682
0.035087719,0.147869674,0.127819549,0.298245614,0.082706767,0.070175439,0.100250627,0.050125313,0.629072682
0.037593985,0.203007519,0.19047619,0.390977444,0.177944862,0.070175439,0.100250627,0.050125313,0.629072682
0.102756892,0.137844612,0.127819549,0.365914787,0.220551378,0.070175439,0.100250627,0.050125313,0.629072682
0.037593985,0.15037594,0.120300752,0.353383459,0.421052632,0.070175439,0.100250627,0.050125313,0.629072682
0.050125313,0.436090226,0.120300752,0.165413534,0.037593985,0.070175439,0.100250627,0.050125313,0.629072682
0.050125313,0.085213033,0.110275689,0.087719298,0.170426065,0.070175439,0.100250627,0.050125313,0.629072682
0.090225564,0.165413534,0.125313283,0.172932331,0.05764411,0.070175439,0.100250627,0.050125313,0.629072682
0.070175439,0.085213033,0.115288221,0.072681704,0.172932331,0.070175439,0.100250627,0.050125313,0.629072682
0.047619048,0.30075188,0.122807018,0.145363409,0.082706767,0.070175439,0.100250627,0.050125313,0.629072682
0.047619048,0.097744361,0.117794486,0.087719298,0.15037594,0.070175439,0.100250627,0.050125313,0.629072682
0.047619048,0.142857143,0.125313283,0.220551378,0.170426065,0.070175439,0.100250627,0.050125313,0.629072682
0.042606516,0.428571429,0.152882206,0.393483709,0.280701754,0.070175439,0.100250627,0.050125313,0.629072682
0.040100251,0.13283208,0.117794486,0.112781955,0.045112782,0.070175439,0.100250627,0.050125313,0.629072682
0.370927318,0.30075188,0.137844612,0.380952381,0.100250627,0.070175439,0.100250627,0.050125313,0.629072682
0.047619048,0.115288221,0.107769424,0.09273183,0.055137845,0.070175439,0.100250627,0.050125313,0.629072682
0.053571429,0.125,0.339285714,0.125,0.053571429,0.089285714,0.089285714,0.053571429,0.678571429
0.160714286,0.089285714,0.25,0.089285714,0.267857143,0.089285714,0.089285714,0.053571429,0.678571429
0.142857143,0.125,0.25,0.089285714,0.267857143,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.142857143,0.196428571,0.107142857,0.178571429,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.232142857,0.142857143,0.142857143,0.178571429,0.089285714,0.089285714,0.053571429,0.678571429
0.125,0.089285714,0.410714286,0.142857143,0.410714286,0.089285714,0.089285714,0.053571429,0.678571429
0.142857143,0.214285714,0.321428571,0.160714286,0.571428571,0.089285714,0.089285714,0.053571429,0.678571429
0.125,0.125,0.375,0.107142857,0.053571429,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.107142857,0.214285714,0.089285714,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.267857143,0.196428571,0.107142857,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.089285714,0.303571429,0.125,0.160714286,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.142857143,0.178571429,0.160714286,0.160714286,0.089285714,0.089285714,0.053571429,0.678571429
0.089285714,0.107142857,0.285714286,0.089285714,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.160714286,0.178571429,0.107142857,0.089285714,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.142857143,0.071428571,0.232142857,0.071428571,0.053571429,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.089285714,0.285714286,0.053571429,0.178571429,0.089285714,0.089285714,0.053571429,0.678571429
0.125,0.160714286,0.107142857,0.303571429,0.160714286,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.071428571,0.232142857,0.107142857,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.089285714,0.142857143,0.053571429,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.160714286,0.089285714,0.160714286,0.089285714,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.089285714,0.285714286,0.178571429,0.196428571,0.196428571,0.089285714,0.089285714,0.053571429,0.678571429
0.214285714,0.339285714,0.25,0.089285714,0.178571429,0.089285714,0.089285714,0.053571429,0.678571429
0.107142857,0.357142857,0.178571429,0.303571429,0.25,0.089285714,0.089285714,0.053571429,0.678571429
0.160714286,0.267857143,0.160714286,0.410714286,0.125,0.089285714,0.089285714,0.053571429,0.678571429
0.125,0.160714286,0.125,0.053571429,0.053571429,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.160714286,0.107142857,0.232142857,0.446428571,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.089285714,0.160714286,0.071428571,0.053571429,0.089285714,0.089285714,0.053571429,0.678571429
0.482142857,0.25,0.178571429,0.214285714,0.196428571,0.089285714,0.089285714,0.053571429,0.678571429
0.053571429,0.232142857,0.178571429,0.071428571,0.053571429,0.089285714,0.089285714,0.053571429,0.678571429
0.160714286,0.053571429,0.160714286,0.053571429,0.053571429,0.089285714,0.089285714,0.053571429,0.678571429
0.018518519,0.061728395,0.12654321,0.064814815,0.037037037,0.046296296,0.083333333,0.037037037,0.731481481
0.027777778,0.333333333,0.157407407,0.37037037,0.12345679,0.046296296,0.083333333,0.037037037,0.731481481
0.018518519,0.283950617,0.117283951,0.290123457,0.518518519,0.046296296,0.083333333,0.037037037,0.731481481
0.024691358,0.169753086,0.197530864,0.358024691,0.095679012,0.046296296,0.083333333,0.037037037,0.731481481
0.030864198,0.216049383,0.12962963,0.200617284,0.027777778,0.046296296,0.083333333,0.037037037,0.731481481
0.024691358,0.262345679,0.145061728,0.324074074,0.037037037,0.046296296,0.083333333,0.037037037,0.731481481
0.024691358,0.194444444,0.157407407,0.25308642,0.037037037,0.046296296,0.083333333,0.037037037,0.731481481
0.092592593,0.197530864,0.12654321,0.206790123,0.027777778,0.046296296,0.083333333,0.037037037,0.731481481
0.061728395,0.104938272,0.24382716,0.194444444,0.305555556,0.046296296,0.083333333,0.037037037,0.731481481
0.061728395,0.206790123,0.228395062,0.293209877,0.308641975,0.046296296,0.083333333,0.037037037,0.731481481
0.024691358,0.108024691,0.157407407,0.092592593,0.324074074,0.046296296,0.083333333,0.037037037,0.731481481
0.027777778,0.311728395,0.163580247,0.320987654,0.305555556,0.046296296,0.083333333,0.037037037,0.731481481
0.027777778,0.083333333,0.148148148,0.12037037,0.037037037,0.046296296,0.083333333,0.037037037,0.731481481
0.055555556,0.070987654,0.151234568,0.058641975,0.027777778,0.046296296,0.083333333,0.037037037,0.731481481
0.077160494,0.206790123,0.197530864,0.354938272,0.027777778,0.046296296,0.083333333,0.037037037,0.731481481
